DATE-TIME,USER INPUT,ROBOT RESPONSE,LOG BUTTON,NUMBER OF PEOPLE,TURN,COMMENT
,,,"INVITE: Hi there! Looking for some information or directions? I'm Pepper, your trusty guide. Feel free to ask me anything!",,,
,,,NEW PERSON,,,
,,,NEW PERSON,1,,
,,,DROPOUT,,,
29-06-2023 16:43,Hi how are looking for some information or directions I don't ever feel free to ask me anything,"Hi there! I'm Pepper, the friendly robot at the reception. How can I assist you today? If you need any information or directions, feel free to ask me anything!",,,0,
29-06-2023 16:44,how are you,"I'm doing great, thank you for asking! How can I assist you today?",,,1,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 16:44,dentist building,"I'm sorry, but I don't have information about a specific dentist building. Could you please provide more details or ask the person at the reception desk for assistance?",,,2,
,,,IGNORED,,,
,,,"INVITE: Hi there! Looking for some information or directions? I'm Pepper, your trusty guide. Feel free to ask me anything!",,,
,,,IGNORED,,,
,,,IGNORED,,,
29-06-2023 16:45,Hi how are looking for some information or Direction I don't ever feel free to ask me anything,"Hi there! I'm Pepper, the friendly robot at the reception. How can I assist you today? If you need any information or directions, feel free to ask!",,,3,
29-06-2023 16:46,,Hello there! How can I assist you today?,,,0,
,,,NEW PERSON,,,
,,,DROPOUT,,,
29-06-2023 16:46,how are how can I assist you today,"Hello there! I'm Pepper, your friendly robot receptionist. How can I assist you today?",,,1,
,,,"INVITE: Hi there! Looking for some information or directions? I'm Pepper, your trusty guide. Feel free to ask me anything!",,,
,,,IGNORED,,,
,,,NEW PERSON,1,,
29-06-2023 16:47,"looking for some information or Direction and pepper your trust me, feel free to ask me anything","Hello! I'm Pepper, the friendly robot at the reception. How can I assist you today? Feel free to ask me anything or let me know if you need directions around the campus.",,,2,
29-06-2023 16:47,how much is,"Hello! How can I assist you today? If you have any questions or need directions around the campus, feel free to ask.",,,3,
,,,DROPOUT,,,
29-06-2023 16:47,is looking at me oh my God,Hello! How can I assist you today?,,,4,
29-06-2023 16:48,now it doesn't way back,Hello! How can I assist you today?,,,5,
,,,NEW PERSON,2,,people left without taklkin
29-06-2023 16:48,I wonder if I want to say tell me a joke,"Of course! I'd be happy to tell you a joke. Here it is:

Why don't scientists trust atoms?

Because they make up everything!",,,6,
29-06-2023 16:48,tell me a joke,"Sure, here's a joke for you:

Why don't scientists trust atoms?

Because they make up everything!",,,7,
29-06-2023 16:48,hahaha,Hahaha! It seems like you're having a good time. Is there anything I can assist you with?,,,8,
,END,,,,,
29-06-2023 16:49,I'll see you,"Goodbye! Have a great day! If you need any assistance in the future, don't hesitate to ask. Take care!",,,9,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
,,,IGNORED,,,
29-06-2023 16:49,greetings need some guidance around the campus and pepper ready to assist you just ask me,"Hello! I'm Pepper, the friendly robot at the reception. How can I assist you today? Just let me know what you need help with, and I'll provide you with the directions around the campus.",,,10,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
29-06-2023 16:50,Angry Birds give find me robot companion if you have any queries or need directions just let me know and here's a chance,"Hello! I'm Pepper, your friendly robot companion. How can I assist you today? If you have any questions or need directions, feel free to ask!",,,11,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
,,,IGNORED,,,
29-06-2023 16:50,greetings need some guidance around the campus and pepper ready to assist you just ask me,"Hello and welcome to the campus! I'm Pepper, and I'm here to assist you. How can I help you today?",,,12,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
,,,IGNORED,,,
29-06-2023 16:50,Angry Birds give find me robot companion if you have any queries or need directions just let me know I'm here the chance,"Hello! I'm Pepper, your friendly robot companion. How can I assist you today? If you have any questions or need directions, feel free to let me know.",,,13,
,,,IGNORED,,,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
,,,IGNORED,,,
29-06-2023 16:51,hello looking to the new building if you have any questions about the canvas and need a distance feel free to chat with me,Hello! Welcome to the New building at Friye University Amsterdam. How can I assist you today?,,,14,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
,,,IGNORED,,,
29-06-2023 16:52,greetings need some guidance around the campus and ever ready to assist you just ask me,"Hello there! I'm Pepper, your friendly campus guide. How can I assist you today?",,,15,
,,,NEW PERSON,2,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
,,,IGNORED,,,
29-06-2023 16:52,I never your friend me robot companion if you have any queries or me directions just let me know and here's a chance,"Hello there! I'm Pepper, your friendly robot companion at the reception. How can I assist you today? If you have any questions or need directions, feel free to let me know. I'm here to help!",,,16,
29-06-2023 16:53,I hope you the best,Thank you! I'm here to assist you. How can I help you today?,,,17,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 16:53,Theatre eight,Theater 8 is located on the fourth floor of Wing C. You can either take the stairs in front of me or take the lifts for Wing B to reach there. Enjoy the show!,,,18,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
29-06-2023 16:54,greetings need some guidance around the campus and pepper ready to assist you just ask me,"Hello! I'm Pepper, the friendly robot at the reception. How can I assist you today? Just let me know what you need help with, and I'll provide you with directions around the campus.",,,19,
,,,IGNORED,,,
29-06-2023 16:54,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,20,
29-06-2023 16:54,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,21,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 16:54,hello lunch new building if you have any questions about the canvas or need assistance feel free to chat with me,Hello! Welcome to the New building. How can I assist you today?,,,22,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
29-06-2023 16:55,Angry Bird your friend me real bad companion if you have any queries or me the Russian just let me know and here's a chance,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today?",,,23,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
29-06-2023 16:55,greetings need some guidance around the campus and ever ready to assist you just ask me,"Hello there! I'm Pepper, your friendly campus guide. How can I assist you today?",,,24,
29-06-2023 16:57,floor,Hello there! How can I assist you today? Are you looking for directions to a specific floor in the building? Just let me know which floor you need help with!,,,27,
29-06-2023 16:58,gym give me a high five,"I'm sorry, but as a robot, I am not capable of giving high fives or any physical gestures. However, I'm here to assist you with any information or directions you may need. How can I help you with the gym?",,,28,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
,,,NEW PERSON,1,,
,,,NEW PERSON,1,,
,,,DROPOUT,,,
29-06-2023 16:58,hello Nu building,Hello! Welcome to the NU Building! How can I assist you today?,,,29,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
,,,NEW PERSON,1,,
29-06-2023 16:59,hey I'm deeper your friend me robot companion if you have any queries or need directions just let me know and here's a chance,"Hello there, Deeper! I'm Pepper, your friendly robot assistant. How can I assist you today? If you have any questions or need directions, feel free to ask!",,,30,
29-06-2023 16:59,hello,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,31,
,,,DROPOUT,,,
29-06-2023 16:59,nursing song,"I'm sorry, but as Pepper, I am not capable of singing or playing music. However, I can provide you with information and assist you with any questions you may have. How can I help you today?",,,32,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
29-06-2023 17:00,hi your find me robot companion if you have any queries or need directions just let me know and here's a chance,"Hello there! I'm Pepper, your friendly robot companion. How can I assist you today? Do you have any queries or do you need directions? Just let me know and I'll be happy to help you out.",,,33,
,,,IGNORED,,,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
,,,IGNORED,,,
29-06-2023 17:01,greetings need some guidance around the campus I'm never ready to assist you just text me,"Hello there! I'm Pepper, the friendly robot at the reception. I'm here to assist you with any guidance you need around the campus. Just let me know what you're looking for, and I'll be happy to help you. Please provide me with the details of your request.",,,34,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
29-06-2023 17:01,hi I'm your friendly robot companion if you have any queries or need directions just let me know and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today? If you have any questions or need directions, feel free to ask!",,,35,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 17:02,hello where can you get a new building if you have any questions about the Candice or need assistance feel free to chat with me,"Hello! Welcome to the New building at Friye University Amsterdam. I'm Pepper, the robot at the reception. How can I assist you today?",,,36,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
29-06-2023 17:02,Angry Birds give find me robot companion if you have any queries or me directions just let me know and here's a chance,"Hello there! I'm Pepper, the friendly robot at the reception. How can I assist you today? If you have any questions or need directions, feel free to ask!",,,37,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 17:03,hello where can you get a new building if you have any questions about the Candice or need assistance feel free to chat with me,"Hello! Welcome to the New building at Friye University Amsterdam. I'm Pepper, the robot receptionist. How can I assist you today?",,,38,
,,,IGNORED,,,invite message too long
,,,IGNORED,,,change message to just 'Ask me anything'
,,,"INVITE: Hi there! Looking for some information or directions? I'm Pepper, your trusty guide. Feel free to ask me anything!",,,
29-06-2023 17:04,hi looking for some information or directions I never feel free to ask me anything,"Hi there! I'm Pepper, the friendly robot at the reception. I'm here to help you with any information or directions you need. Feel free to ask me anything! What can I assist you with today?",,,39,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
29-06-2023 17:05,hey I'm deeper your friendly robot companion if you have any queries or need directions just let me know and here's a chance,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need any directions or have any queries? Just let me know!",,,40,
,,,IGNORED,,,
,,,IGNORED,,,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 17:06,hello lunch Nu building if you have any questions about the canvas or need assistance feel free to chat with me,Hello! Welcome to the NU building! How can I assist you today?,,,41,
,,,IGNORED,,,
,,,IGNORED,,,
,,,IGNORED,,,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
29-06-2023 17:07,greetings need some guidance around the campus and pepper ready to assist you just ask me,"Hello! I'm Pepper, your friendly campus guide. How can I assist you today?",,,42,
,,,NEW PERSON,1,,
,,,DROPOUT,,,
,,,"INVITE: Hi there! Looking for some information or directions? I'm Pepper, your trusty guide. Feel free to ask me anything!",,,
29-06-2023 17:07,"hi there looking for some information or Direction and pepper your trust me, I'd feel free to ask me anything","Hi there! Of course, I'm here to help you with any information or directions you need. Feel free to ask me anything! How can I assist you today?",,,43,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
,,,IGNORED,,,
29-06-2023 17:08,Home Depot near find me real bad can come in if you have any queries or need directions just let me know and here's a chance,"Hello! Welcome to Friye University Amsterdam! How can I assist you today? If you have any queries or need directions, just let me know and I'll be happy to help you.",,,44,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
29-06-2023 17:08,greetings need some guidance around the campus and pepper ready to assist you just ask me,"Hello! I'm Pepper, and I'm here to assist you. How can I help you navigate around the campus? Just let me know what you're looking for, and I'll provide you with directions.",,,45,
,,,IGNORED,,,
,,,QUIT,,,
