,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,NEW PERSON,,,
03/07/2023 13:05:07,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you have any questions or need directions, feel free to ask.",,,0,
03/07/2023 13:05:36,what is the meaning of life,"Ah, the meaning of life, a timeless question! While there are many different perspectives on this, the meaning of life can be quite subjective and personal. Some find meaning in relationships, others in personal achievements or contributing to society. Ultimately, it's up to each individual to discover their own meaning and purpose in life. What do you think the meaning of life is?",,,1,
03/07/2023 13:06:06,thank you so much for this information have a good day you're adorable meaning of life is to get rid of all the robots,"You're welcome! I'm glad I could help. Have a great day too! As a robot, I'm here to assist and make your experience better, so no need to get rid of us. We can coexist peacefully. If you have any more questions or need further assistance, feel free to ask!",,,2,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,NEW PERSON,4,,
03/07/2023 13:06:32,Angry Bird your friend me real bad companion and here's a chance,"Hello! I'm Pepper, your friendly robot assistant. How can I assist you today?",,,3,
03/07/2023 13:06:42,directions for assistance,Hello there! How can I assist you today?,,,4,
03/07/2023 13:06:53,grocery where's the bathroom,The bathroom is straight ahead and to the left.,,,5,
03/07/2023 13:07:12,the perfect opportunity to do some tasks,Hello! How can I assist you today?,,,6,
,,,,,,not all speech recorded by dialogflow
,,,DROPOUT,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:07:59,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus? Just let me know and I'll be happy to help you out!",,,7,
,,,,,,people looked and left 
03/07/2023 13:08:10,,Hello there! How can I assist you today?,,,8,
,,,ACKNOWLEDGED,,,
,,,,,,person greets robot and keeps walking
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,NEW PERSON,4,,
03/07/2023 13:08:49,hi and give her your friendly robot companion and here's a chance,"Hi! I'm Pepper, your friendly robot companion. How can I assist you today?",,,9,
03/07/2023 13:09:00,hello,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,10,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03/07/2023 13:09:25,we want to go to the computer science department,"Sure! The Computer Science department is located on the 10th, 11th, and 12th floors of Wing A. To get there, you can take the lifts straight ahead and to the left, near the other entrance. Let me know if you need directions to a specific floor within the Computer Science department.",,,11,
03/07/2023 13:09:40,do you know the bio for Medics group,"I'm sorry, but I don't have information specifically about the ""Medics group."" Could you please provide more details or clarify what you are looking for?",,,12,
03/07/2023 13:09:54,I am looking for Alaska TV,"I'm sorry, but I don't have any information about a TV show called ""Alaska."" Is there anything else I can assist you with?",,,13,
03/07/2023 13:10:06,no thank you,"You're welcome! If you have any questions or need assistance, feel free to ask. I'm here to help!",,,14,
,,,NEW PERSON,2,,incorrcet speech
03/07/2023 13:10:26,can I talk to you guys for like 2 seconds,Of course! I'm here to assist you. How can I help you today?,,,15,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,,,,people look and leave
03/07/2023 13:10:50,hi need directions are just feel like adding and here for you,"Hello there! Sure, I'm here to help you with directions. What place are you looking for? Just let me know and I'll provide you with the directions.",,,16,
,,,NEW PERSON,2,,
,END,,,,,
03/07/2023 13:10:58,see you talking about,Hello there! How can I assist you today?,,,17,
03/07/2023 13:11:10,hello,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,18,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03/07/2023 13:11:29,hi I'm your friendly robot companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,19,
,,,,,,people take photos and leave
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
