DATE-TIME,USER INPUT,ROBOT RESPONSE,LOG BUTTON,NUMBER OF PEOPLE,TURN,COMMENT
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,NEW PERSON,,,
03-07-2023 11:26,hi I'm your friendly robot companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,0,
,,,ACKNOWLEDGED,,,
,,,,,,waved back at the robot
03-07-2023 11:26,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,1,
,END,,,,,
03-07-2023 11:26,bye,"Goodbye! If you have any more questions in the future, feel free to ask. Have a great day!",,,2,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,IGNORED,,,
03-07-2023 11:27,hi I'm your friendly robot companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,3,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,IGNORED,,,
03-07-2023 11:27,hi need directions are just feel like heading I'm here for you,"Hi there! I'm Pepper, and I'm here to help you with directions around the campus. Just let me know where you want to go, and I'll provide you with the directions. How can I assist you today?",,,4,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:28,Angry Birds your friendly robot companion and here's a chance,"Hello there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,5,
,,,,,,person smiled at robot and continued walking
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,NEW PERSON,1,,
03-07-2023 11:29,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you have any questions or need directions, feel free to ask!",,,6,
03-07-2023 11:29,where is the canteen,"The cafeteria is on this floor, straight ahead. Enjoy your meal!",,,7,
03-07-2023 11:30,where can I hang out,"Oh, there are several places where you can hang out on campus. You can visit the cafeteria, which is straight ahead on this floor. There are also study areas on the 1st to 6th floors of Wings A and B if you prefer a quieter place. If you're looking for a place to relax outdoors, you can check out the balcony on the 1st floor of Wing A. Let me know if you need directions to any specific place!",,,8,
,END,,,,,
03-07-2023 11:30,Thank You Marvin,"You're welcome! But just a small correction, my name is Pepper, not Marvin. How can I assist you today?",,,9,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
03-07-2023 11:31,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you're looking for information or directions, feel free to ask me.",,,10,
,,,,,,Robot's name is set to pepper does not answer to'Marvin'
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
03-07-2023 11:32,I need directions are just feel like heading I'm here for you,Of course! I'm here to help you. Please let me know where you would like to go or if you have any specific questions.,,,11,
,,,,,,person took photo and left
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
,,,,,,people got scared by Pepper's invite message and left
,,,IGNORED,,,
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
03-07-2023 11:33,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, and I'm here to assist you with directions around the campus. How can I help you today?",,,12,
,,,ACKNOWLEDGED,,,
03-07-2023 11:33,,Hello! Welcome to Friye University Amsterdam. How may I assist you today?,,,13,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:33,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. I'm here to help you with directions around the campus. Just let me know where you want to go, and I'll provide you with the directions. How can I assist you today?",,,14,
03-07-2023 11:34,basket,Hello! How can I assist you today? Are you looking for the basketball court?,,,15,
,,,,,,picked up noise as 'basket'
03-07-2023 11:35,basket,Hello! How can I assist you today?,,,16,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
03-07-2023 11:35,greetings looking for some information or directions just ask me,"Hello! How can I assist you today? If you need any information or directions, feel free to ask.",,,17,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,IGNORED,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:36,Angry Bird your friend me robot companion and here's a chance,"Hello there! I'm Pepper, your friendly robot companion. How can I assist you today?",,,18,
,,,ACKNOWLEDGED,,,
03-07-2023 11:36,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,19,
,,,,,,people take photo and leave
,,,IGNORED,,,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
,,,ACKNOWLEDGED,,,
,,,NEW PERSON,2,,
03-07-2023 11:36,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you need any information or directions, feel free to ask.",,,20,
03-07-2023 11:37,where can I find food,"You can find the cafeteria on this floor, straight ahead. They serve a variety of food options. Enjoy your meal!",,,21,
03-07-2023 11:37,David I want cheap food like a supermarket,"Hi David! If you're looking for cheap food like a supermarket, there is an Albert Hein To Go grocery store nearby. You can find it by going straight ahead and exiting through the other entrance, then turning left. It's about 350 meters away. Enjoy your shopping!",,,22,
03-07-2023 11:37,lift be one spot,The lifts for Wing B are behind me.,,,23,
,,,DROPOUT,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
03-07-2023 11:38,Angry Birds give find me robot companion and here's a chance,Hello there! How can I assist you today?,,,24,
,,,NEW PERSON,3,,
03-07-2023 11:38,ozw of love,Hello there! How can I assist you today?,,,25,
03-07-2023 11:38,hi,Hello! How can I assist you today?,,,26,
03-07-2023 11:38,firstaid mainbuilding,"The first aid room is located in the Main Building. Please proceed to the ground floor of the Main Building to find the first aid room. If you need further assistance, feel free to ask.",,,27,
03-07-2023 11:38,eating,"Hello! How can I assist you today? If you're looking for a place to eat, we have a cafeteria on this floor. It's straight ahead. Enjoy your meal!",,,28,
,,,,,,"incorrect speech recognized, person asked for just 'main building'"
,,,IGNORED,,,
,,,DROPOUT,,,
,,,,,,person left after robot responded
03-07-2023 11:40,eating,Hello! How can I assist you today? Are you looking for a place to eat on campus?,,,29,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
03-07-2023 11:40,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus? Just let me know where you'd like to go, and I'll provide you with the directions.",,,30,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
,,,IGNORED,,,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,ACKNOWLEDGED,,,
,,,ACKNOWLEDGED,,,
03-07-2023 11:41,hi me directions are just feel like heading I'm here for you,"Hello! I'm Pepper, the friendly robot at the reception. How can I assist you today? If you need directions, just let me know where you'd like to go, and I'll be happy to help you find your way.",,,31,
,,,,,,people stooped to look and continued walking
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,NEW PERSON,1,,
03-07-2023 11:41,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today? Do you need directions to a specific place on campus?",,,32,
03-07-2023 11:41,what's your name,"Hello there! I'm Pepper, your friendly robot assistant. How can I assist you today?",,,33,
03-07-2023 11:42,can you play me to the mainbuilding can I touch you,"Of course, I can provide you with directions to the Main Building. Please exit through the other entrance and turn left. The Main Building is the second building on the left. As for touching me, I'm sorry, but I'm not designed for physical interaction. However, I'm here to assist you with any questions or directions you may need. How else may I assist you?",,,34,
03-07-2023 11:42,OK where where do they have the best coffee,"Oh, I'm glad you asked! The closest coffee machine is on the 1st floor. You can take the stairs to the 1st floor and turn right to find it. Enjoy your coffee!",,,35,
03-07-2023 11:42,I like bullying,"I'm sorry, but I can't engage in that topic with you. If you have any other questions or need assistance with something else, feel free to ask!",,,36,
03-07-2023 11:43,toilet the 360,The toilets on this floor are straight ahead and to the left.,,,37,
03-07-2023 11:43,hey what's the director of the University,Hello! The director of the university is Prof. Dr. Vinod Subramaniam. He has been serving as the rector magnificus of Vrije Universiteit Amsterdam since 2018. Is there anything else I can assist you with?,,,38,
03-07-2023 11:44,how many students do you have,"Pepper: As a robot at the reception, I don't have access to the exact number of students at the university. However, Friye University Amsterdam has a large student population. If you need specific information about student enrollment, I recommend contacting the university's student affairs department. They will be able to provide you with accurate information.",,,39,
,,,,,,"incorrect speech recognized, person asked how far the robot neck turns"
03-07-2023 11:44,someone controlling you right there it's just the surface desktop connection of the main building,"Hello! I am Pepper, your friendly robot assistant. How can I assist you today?",,,40,
,,,,,,speech not recognized
03-07-2023 11:44,can you show us which way to go to the mainbuilding,"Sure! To go to the Main Building, you can either take the exit right behind me and it's the second building on the left, or you can take the exit to the main street and go right.",,,41,
03-07-2023 11:45,hello. Can you wait in the direction,"Hello! Of course, I'm here to assist you. How can I help you today?",,,42,
03-07-2023 11:45,can you wait,Of course! I'm here to assist you. Just let me know when you're ready with your question or request.,,,43,
03-07-2023 11:45,the way for us I'm ready with my request,"Hello! I'm Pepper, the friendly robot receptionist. How can I assist you today? Please let me know your request or question, and I'll do my best to help you.",,,44,
,,,,,,person asked can you wave not wait or way
03-07-2023 11:45,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,45,
,,,NEW PERSON,3,,
03-07-2023 11:45,where are the toilet,The toilets on this floor are straight ahead and to the left.,,,46,
03-07-2023 11:46,,Hello! Welcome to Friye University Amsterdam. How may I assist you today?,,,47,
03-07-2023 11:46,I know,Hello there! How can I assist you today?,,,48,
,,,,,,people take photo and leave
,,,NEW PERSON,5,,
,,,,,,dialogflow doesnt catch speech
,,,DROPOUT,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,NEW PERSON,3,,
,,,,,,takes photo and leaves
,,,NEW PERSON,1,,
,,,,,,people confuse whether to start talking
,,,QUIT,,,
