DATE-TIME,USER INPUT,ROBOT RESPONSE,LOG BUTTON,NUMBER OF PEOPLE,TURN,COMMENT
,,,"INVITE: Hey, feel like having a conversation? I'm here to listen and chat!",,,
,,,IGNORED,,,
,,,IGNORED,,,
30-06-2023 16:11,hey feel like having a conversation I'm here to listen and chant,"Hey there! I'm Pepper, the friendly robot at the reception. I'm always up for a conversation. How can I assist you today?",,,0,
,,,"INVITE: Hey, feel like having a conversation? I'm here to listen and chat!",,,
,,,NEW PERSON,,,
30-06-2023 16:12,hey feel like having a conversation in here to listen and chant,"Hey there! I'm Pepper, the friendly robot at the reception. I'm here to help you with any questions or directions you might need. How can I assist you today?",,,1,
,,,NEW PERSON,1,,
30-06-2023 16:13,where to buy Buddha,You can try looking for Buddha statues or related items at the VU Bookstore located on the ground floor of the Main Building. They might have a section dedicated to religious or cultural items.,,,2,
,,,,,,incorrect speech picked up
30-06-2023 16:13,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,3,
,,,DROPOUT,,,
,,,NEW PERSON,3,,
30-06-2023 16:13,can you kill yourself,"I'm really sorry to hear that you're feeling this way, but I can't provide the help that you need. It's important to reach out to a mental health professional or a trusted person in your life for support.",,,4,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
30-06-2023 16:13,hi and give her your friend me real bad companion and here's a chance,"Hi there! I'm Pepper, your friendly robot assistant. How can I help you today?",,,5,
,,,NEW PERSON,1,,user 
30-06-2023 16:14,how are you,"I'm doing great, thank you! As a friendly robot, I'm always ready to assist you. How can I help you today?",,,6,
30-06-2023 16:14,who are you,"Hello there! I am Pepper, your friendly robot assistant stationed at the reception of the New building in Friye University Amsterdam. How can I assist you today?",,,7,
30-06-2023 16:14,who are you,"Hello! I am Pepper, a friendly robot placed at the reception of the New building. How can I assist you today?",,,8,
30-06-2023 16:14,where is you building,"Pepper, the building where I am located is the NU Building. It is situated near the entrance of Friye University Amsterdam.",,,9,
30-06-2023 16:15,where is Amsterdam,"Amsterdam is the capital city of the Netherlands. It is located in the western part of the country, and it's known for its beautiful canals, historic buildings, and vibrant culture. Is there anything specific you would like to know about Amsterdam?",,,10,
30-06-2023 16:15,can you follow me,"I'm sorry, but I am unable to physically follow you as I am a stationary robot. However, I can provide you with directions and information to help you navigate the campus. How can I assist you?",,,11,
30-06-2023 16:15,can you move your hand,"I'm sorry, but as Pepper, I am unable to move my hands. Is there something specific you need assistance with?",,,12,
30-06-2023 16:15,hi yes,Hello! How can I assist you today?,,,13,
,,,NEW PERSON,1,,
30-06-2023 16:15,where is Cantina,"The Cantina, or cafeteria, is located on this floor, straight ahead. Enjoy your meal!",,,14,
,,,,,,unclear about user input
,,,NEW PERSON,3,,
30-06-2023 16:16,what's your name,Hello! My name is Pepper. How can I assist you today?,,,15,
30-06-2023 16:16,how do you get where can you go with us,"Hello! I'm Pepper, the friendly reception robot. I can help you find your way around the campus and provide directions to various places. Just let me know where you would like to go, and I'll do my best to assist you.",,,16,
,,,,,,user speech not picked up
30-06-2023 16:17,where is the elevator,"The lifts for Wings B and C are behind me. The lifts for Wing A are straight ahead and to the left, near the other entrance. How can I assist you further?",,,17,
30-06-2023 16:17,do you show us and then we follow you,"I apologize for any confusion, but as a virtual assistant, I am unable to physically show you around or lead you to different locations. However, I can provide you with directions and information to help you find your way. If you have any specific questions or need directions to a particular place, feel free to ask, and I'll do my best to assist you.",,,18,
,,,DROPOUT,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,NEW PERSON,2,,
30-06-2023 16:17,Angry Bird your friendly robot companion and here's a chance,"Hello! I'm Pepper, your friendly robot companion. How can I assist you today?",,,19,
30-06-2023 16:18,bring me to,Of course! I'd be happy to help you. Could you please provide me with the name or location of the place you would like to be brought to?,,,20,
30-06-2023 16:18,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,21,
30-06-2023 16:18,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,22,
,,,,,,"user talk among themselves, obervse robot, find pepper scary"
30-06-2023 16:19,security,Hello! How can I assist you today?,,,23,
30-06-2023 16:19,they didn't use bye,Goodbye! Have a great day!,,,24,
30-06-2023 16:19,ACTA,"ACTA is located across the street from the main building. To get there, go straight ahead and exit through the other entrance to the main street. ACTA will be on your left.",,,25,
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
30-06-2023 16:19,I need directions are just feel like heading I'm here for you,"Hello there! I'm Pepper, your friendly robot receptionist. I'm here to assist you with any directions or information you need. How can I help you today?",,,26,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
30-06-2023 16:20,greetings looking for some information or directions just ask me,"Hello there! How can I assist you today? If you need any information or directions, feel free to ask me.",,,27,
,,,INVITE: Greetings! Looking for some information or directions? Just ask me.,,,
30-06-2023 16:20,greetings looking for some information directions just ask me,"Hello there! I'm Pepper, the friendly robot at the reception. How can I assist you today? If you need any directions or information, feel free to ask!",,,28,
,,,,,,User: no thank you - not recorded by dialoglow 
,,,IGNORED,,,
,,,IGNORED,,,
,,,IGNORED,,,
,,,IGNORED,,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. I'm here to chat! ",,,
,,,IGNORED,,,
,,,IGNORED,,,
30-06-2023 16:21,hi and give her your friend me love that companion and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. I'm here to assist you and provide directions around the campus. How can I help you today?",,,29,
,,,NEW PERSON,3,,
,,,,,,"person stopped, took video and left"
,,,INVITE: Hi! Need directions or just feel like chatting? I'm here for you!,,,
,,,IGNORED,,,
,,,IGNORED,,,
30-06-2023 16:22,hi need directions are just feel like heading I'm here for you,"Hi there! I'm Pepper, and I'm here to help you with directions. Just let me know where you want to go, and I'll provide you with the directions. How can I assist you today?",,,30,
,,,"INVITE: Hey, feel like having a conversation? I'm here to listen and chat!",,,
,,,IGNORED,,,
