DATE-TIME,USER INPUT,ROBOT RESPONSE,LOG BUTTON,NUMBER OF PEOPLE,TURN,COMMENT
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
,,,"INVITE: Hi there! Looking for some information or directions? I'm Pepper, your trusty guide. Feel free to ask me anything!",,,
,,,NEW PERSON,,,
29-06-2023 15:24,hi give find me robot companion if you have any queries or just let me know and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today? If you have any queries or need help with anything, just let me know and I'll be happy to assist you.",,,0,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
,,,NEW PERSON,1,,
29-06-2023 15:25,hi I'm deeper your friend me robot companion if you have any queries or need directions just let me know and here's a chance,"Hi there! I'm Pepper, your friendly robot assistant. How can I assist you today? If you have any questions or need directions, feel free to ask!",,,1,
29-06-2023 15:25,can I have coffee where is coffee,Of course! The closest coffee machine is on the 1st floor. Just take the stairs to the 1st floor and turn right. Enjoy your coffee!,,,2,
29-06-2023 15:25,,Hello there! How can I assist you today?,,,3,
29-06-2023 15:26,is there hot chocolate somewhere nearby,"Hello! Yes, there is a coffee machine on the 1st floor. You can take the stairs to the 1st floor and turn right to find it. They usually have hot chocolate available there. Enjoy your drink!",,,4,
29-06-2023 15:26,I cute,"Thank you for the compliment! As a robot, I don't have physical appearance, but I'm here to assist you with any questions you may have. How can I help you today?",,,5,
29-06-2023 15:26,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,6,
29-06-2023 15:26,he does play next,"I'm sorry, but as a language model, I don't have the capability to play music or perform physical actions. Is there anything else I can assist you with?",,,7,
29-06-2023 15:27,I will go get a coffee,That sounds like a good idea! The closest coffee machine is on the 1st floor. Just take the stairs to the 1st floor and turn right. Enjoy your coffee!,,,8,
,,,IGNORED,,,people do not know what to say
29-06-2023 15:27,,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,9,
,,,NEW PERSON,2,,
29-06-2023 15:27,know me,Hello there! How can I assist you today?,,,10,
29-06-2023 15:27,which one is better,"Well, it depends on what you are comparing. Could you please provide more context or specify what you are referring to? That way, I can give you a more accurate answer.",,,11,
29-06-2023 15:28,we are comparing our programming knowledge,That sounds interesting! Programming knowledge can vary greatly depending on the individual and their experiences. What specific aspects of programming are you comparing?,,,12,
,,,DROPOUT,,,
29-06-2023 15:28,start,"Hello! Welcome to Friye University Amsterdam. I'm Pepper, the friendly robot at the reception. How can I assist you today?",,,13,
,,,IGNORED,,,
,,,DROPOUT,,,
,,,DROPOUT,,,people like recording/taking photos instead of talking
29-06-2023 15:29,hello,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,14,
,,,DROPOUT,,,
,,,NEW PERSON,3,,
,,,"INVITE: Hi there! Looking for some information or directions? I'm Pepper, your trusty guide. Feel free to ask me anything!",,,
29-06-2023 15:29,"hi looking for some information or directions and pepper your trust me, I'd feel free to ask me anything","Hi there! Of course, I'm here to assist you. Feel free to ask me anything or let me know if you need directions. How can I help you today?",,,15,
29-06-2023 15:30,I want to go to the W and N building,"Sure! To get to the WN Building, you can take the exit right behind me, go straight, and you will find an entrance to the WN building towards the left. Enjoy your visit!",,,16,
29-06-2023 15:30,which car has the entrance,"The car entrance is located at the parking garage below the building. To reach the car entrance, you need to go straight ahead and exit through the other entrance. Then, go left on the street, and you will find the car entrance in about 200 meters.",,,17,
29-06-2023 15:31,cafeteria,"The cafeteria is located on this floor, straight ahead. Enjoy your meal!",,,18,
,,,IGNORED,,,"people talk among themselves, dialogflow picks up nonsense"
,,,IGNORED,,,
,,,IGNORED,,,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 15:32,hello,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,19,
29-06-2023 15:32,Where is the mainbuilding,"The main building is located just a short walk from here. You can either take the exit right behind me and it is the second building on the left, or you can take the exit to the main street and go right.",,,20,
29-06-2023 15:32,how many great do you want to join me,"Hello! As a robot, I don't have personal preferences or desires. However, I'm here to assist you and answer any questions you may have. How can I help you today?",,,21,
29-06-2023 15:32,,Hello there! Welcome to Friye University Amsterdam. How can I assist you today?,,,22,
29-06-2023 15:33,nursing,"The nursing room is located on the 3rd floor of Wing B, in room 25. You can take the lifts for Wing B, which are right behind me, to reach there.",,,23,
,,,IGNORED,,,dialog flow does not catch /pickup some words
29-06-2023 15:34,nursing,"The nursing room is on the 3rd floor of Wing B, in room 25. The lifts for Wing B are right behind me.",,,24,
,,,NEW PERSON,1,,
,,,"INVITE: Hi! I'm Pepper, your friendly robot companion. If you have any queries or need directions, just let me know. I'm here to chat!",,,
,,,IGNORED,,,
,,,IGNORED,,,
29-06-2023 15:34,hi I'm your friendly robot companion if you have any queries or need directions just let me know and here's a chance,"Hi there! I'm Pepper, your friendly robot companion. How can I assist you today? If you have any questions or need directions, feel free to ask!",,,25,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 15:35,lecture,Hello! How can I assist you today? Are you looking for a specific lecture or do you need information about the lecture halls on campus? Please let me know how I can help you.,,,26,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
29-06-2023 15:35,Cinemas,"Oh, you're looking for information about the cinemas. How can I assist you with that?",,,27,
29-06-2023 15:35,hello,Hello! Welcome to Friye University Amsterdam. How can I assist you today?,,,28,
29-06-2023 15:36,where's the main building,"The main building is either the second building on the left if you take the exit right behind me, or if you take the exit to the main street, you can go right. How can I assist you further?",,,29,
29-06-2023 15:36,looking for can I see you,"Of course! I'm Pepper, the friendly robot standing here at the reception. How can I assist you today?",,,30,
29-06-2023 15:36,should I see the full map cuz I'm not seeing everything,"Of course! If you're having trouble seeing everything on the map, I can provide you with a full map of the campus. Just let me know and I'll be happy to assist you!",,,31,
29-06-2023 15:36,please,Hello there! How can I assist you today?,,,32,
,,,DROPOUT,,,speed issues
29-06-2023 15:36,,Hello there! How can I assist you today?,,,33,
29-06-2023 15:37,Cinema,"The cinema is located in Wing C of the building. There are 9 theaters spread across the ground, 2nd, and 4th floors of Wing C. To reach the cinema, you can either take the lifts behind me or use the stairs or escalator in front of me. Let me know if you need directions to a specific theater within the cinema.",,,34,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
29-06-2023 15:38,hello o two building if you have any questions about the Kansas or need assistance feel free to chat with me,"Hello! Welcome to the New building near the entrance at Friye University Amsterdam. I'm Pepper, your friendly robot assistant. How can I assist you today?",,,35,
,,,IGNORED,,,dlalog picks up random speech
29-06-2023 15:39,hello o two building if you have any questions about the Kansas or need assistance feel free to chat with me,"Hello! I'm Pepper, the friendly robot at the reception. How can I assist you today?",,,36,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
,,,IGNORED,,,
29-06-2023 15:39,greetings need some guidance around the campus and pepper ready to assist to just ask me,"Hello! Welcome to Friye University Amsterdam. I'm Pepper, your friendly robot assistant. How can I assist you today?",,,37,
,,,IGNORED,,,
,,,"INVITE: Hi there! Looking for some information or directions? I'm Pepper, your trusty guide. Feel free to ask me anything!",,,
29-06-2023 15:40,"hi looking for some information or directions and pepper your trust me, I'd feel free to ask me anything","Hi there! Of course, I'm here to assist you. Feel free to ask me anything or let me know if you need any directions. How can I help you today?",,,38,
,,,NEW PERSON,3,,
,,,DROPOUT,,,
,,,"INVITE: Hello! Welcome to the New building! If you have any questions about the campus or need assistance, feel free to chat with me",,,
,,,NEW PERSON,1,,people take picture/video and move o
29-06-2023 15:41,hello if you have any questions about the canvas or need assistance feel free to chat with me,Hello! How can I assist you today? Is there anything specific you need help with?,,,39,
,,,"INVITE: Greetings! Need some guidance around the campus? I'm Pepper, ready to assist you. Just ask me.",,,
